Date, Close/Last, Volume, Open, High, Low
05/01/2020, $289.07, 60154180, $286.25, $299, $285.85
04/30/2020, $293.8, 45765970, $289.96, $294.53, $288.35
04/29/2020, $287.73, 34320200, $284.73, $289.67, $283.89
04/28/2020, $278.58, 28001190, $285.08, $285.83, $278.2
04/27/2020, $283.17, 29271890, $281.8, $284.54, $279.95
04/24/2020, $282.97, 31627180, $277.2, $283.01, $277
04/23/2020, $275.03, 31203580, $275.87, $281.75, $274.87
04/22/2020, $276.1, 29264340, $273.61, $277.9, $272.2
04/21/2020, $268.37, 45247890, $276.28, $277.25, $265.43
04/20/2020, $276.93, 32503750, $277.95, $281.68, $276.85
04/17/2020, $282.8, 53812480, $284.69, $286.945, $276.86
04/16/2020, $286.69, 39281290, $287.38, $288.1975, $282.3502
04/15/2020, $284.43, 32788640, $282.4, $286.33, $280.63
04/14/2020, $287.05, 48748670, $280, $288.25, $278.05
04/13/2020, $273.25, 32755730, $268.31, $273.7, $265.83
04/09/2020, $267.99, 40529120, $268.7, $270.07, $264.7
04/08/2020, $266.07, 42223820, $262.74, $267.37, $261.23
04/07/2020, $259.43, 50721830, $270.8, $271.7, $259
04/06/2020, $262.47, 50455070, $250.9, $263.11, $249.38
04/03/2020, $241.41, 32470020, $242.8, $245.7, $238.9741
